Line Section,Equipment / Asset ID,Manufacturer Code Pillow Block,Manufacturer Pillow Block,Manufacturer Code Bearing,Manufacturer Bearing,Bearing Type,Lubricant Type,Grease Fitting Position,Bearing Volume,Pillow Block 1st Fill %,Pillow Block 1st Fill g,Lubrication Grease (g),Lubrication Period (weeks)
PROCESS SECTION,BRU - 001 - ENTRY ROLL - BRIDLE ROLL UNIT 2 - Driven Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,BRU - 002 - ENTRY ROLL - BRIDLE ROLL UNIT 2 - OPS Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,BRU - 003 - MIDDLE ROLL - BRIDLE ROLL UNIT 2 - Driven Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
ENTRY SECTION,DFR - 286 - DELFECTOR  ROLL ASSEMBLY E3A - OPS Side,P2B 107-SRB-SRH,SKF,P2B 107-SRB-SRH,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,244 cm3,20%,44 g,19 g,10
