Line Section,Equipment / Asset ID,Manufacturer Code Pillow Block,Manufacturer Pillow Block,Manufacturer Code Bearing,Manufacturer Bearing,Bearing Type,Lubricant Type,Grease Fitting Position,Bearing Volume,Pillow Block 1st Fill %,Pillow Block 1st Fill g,Lubrication Grease (g),Lubrication Period (weeks)
PROCESS SECTION,BRU - 188 - EXIT ROLL - EXIT ROLL ASSY - OPS Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,CRO - 189 - STABILIZER ROLL N - MARKER UNIT - Driven Side,P2B-SXR-111,DODGE,G1108KRR,FAF BEAR,Deep groove ball bearing,UNIREX EP2 GREASE,Pillow Block - Sides,125 cm3,40%,44 g,20 g,15
PROCESS SECTION,CRO - 190 - STABILIZER ROLL N - MARKER UNIT - OPS Side,P2B-SXR-111,DODGE,G1108KRR,FAF BEAR,Deep groove ball bearing,UNIREX EP2 GREASE,Pillow Block - Sides,125 cm3,40%,44 g,20 g,15
PROCESS SECTION,SMR - 191 - PIC-UP ROLL #60A (RUBBER) - SINE MARKER UNIT - Driven Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,14
PROCESS SECTION,SMR - 192 - PIC-UP ROLL #60A (RUBBER) - SINE MARKER UNIT - OPS Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,14
PROCESS SECTION,SMR - 193 - TRANSFER ROLL #60B (STL) - SINE MARKER UNIT - Driven Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,14
PROCESS SECTION,SMR - 194 - TRANSFER ROLL #60B (STL) - SINE MARKER UNIT - OPS Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,14
PROCESS SECTION,SMR - 195 - SINE DIE ROLL ASSY #60C - SINE MARKER UNIT - Driven Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,19
PROCESS SECTION,SMR - 196 - SINE DIE ROLL ASSY #60C - SINE MARKER UNIT - OPS Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,19
PROCESS SECTION,DFR - 197 - DEFLECTOR ROLL #61 - Driven Side,FSAF 315,SKF,22315CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,191 cm3,40%,68 g,39 g,22
PROCESS SECTION,DFR - 198 - DEFLECTOR ROLL #61 - OPS Side,FSAF 315,SKF,22315CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,191 cm3,40%,68 g,39 g,22
PROCESS SECTION,LMR - 199 - ROLL R62A LINEAR BAND ROLL - Driven Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,21
PROCESS SECTION,LMR - 200 - ROLL R62A LINEAR BAND ROLL - OPS Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,21
PROCESS SECTION,LMR - 201 - ROLL R62B TRANSFER ROLL - Driven Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,14
PROCESS SECTION,LMR - 202 - ROLL R62B TRANSFER ROLL - OPS Side,F-B22431H,LIN BELT,B22431HL,LIN BELT,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,163 cm3,20%,29 g,13 g,14
PROCESS SECTION,"STR - 203 - ENTRY ROLL ASSEMBLY ""P"" - Driven Side",SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,"STR - 204 - ENTRY ROLL ASSEMBLY ""P"" - OPS Side",SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,"STR - 205 - EXIT ROLL ASSEMBLY ""Q"" - Driven Side",SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,"STR - 206 - EXIT ROLL ASSEMBLY ""Q"" - OPS Side",SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 207 - DEFLECTOR ROLL 63 - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
